StartOfFile
a un
abrasiveness abrasividad
abrasives abrasuvis
abreact liberar_emociones_verbalmente
abreaction abreacción
abreast_de_fr to_keep_abreast_of
abridge abreviar
abridged abreviado
abridgement compendio
abridger compendiador
abridges compendia
abridging abreviando
abridgment abreviación
abroach espitado
abroad en_el
abrogate abrogar
abrogated abrrogado
abrogates abrroga
abrogating abrrogante
abrogation abrogaci/on
abrupt brusco
abruption ruptura
abruptly bruscamente
abruptness precipitación
abscess absceso
abscessed abscesado
abscesses abscesos
abscise abscisa
abscised cortado_por_abscisión
abscissa abscisa
abscissae abcisa
abscissas abcisas
abscission abscisión
abscond vi_huir
absconded oculto
absconder fugitivo
absconding fuga/ndose
absconds ocultarse
absence ausencia
absences ausencias
absent ausente
absented ausente
absentee absenista
absenteeism absentismo
absentees ausentes
absentia ausencia
absenting ausentando
absently en_ausencia
absentminded despistado,-a
absentmindedly distraido
absentmindedness olvidadizo
absents ausentes
absinth ajenjo
absinthe absenta
absolute absoluto
absolutely absolutamente
absoluteness absoluto
absolutes absolutos
absolution absolución
absolutism absolutismo
absolutist absolutista
absolutistic absolutista
absolutization absolutización
absolutize absolutizar
absolutizes absolutiza
absolve absolver
absolved absuelto
absolver absolutor
absolves absuelve
absolving absolver
absorb absorber
absorbability capacidad_de_absorber
absorbable absorbible
absorbance absorvencia
absorbancy absorbencia
absorbant absorbente
absorbed absorbido
absorbency absorbencia
absorbent absorbente
absorber absorber
absorbing absorbente
absorbingly absorbentemente
absorbs absorbe
absorbtions absorciones
absorptance absortencia
absorption absorción
absorptive absorbente
abstain abstener
abstained abstinente
abstainer abstemio
abstaining abstinente
abstains abstiene
abstemious abstemio
abstention abstención
abstentions abstenciones
abstentious abstencionista
abstinence abstinencia
abstinent abstinente
abstinently abstinentamente
abstract abstracto
abstractable abstraíble
abstracted abstracto
abstractedly abstrai/damente
abstractedness abstrasencia
abstracter abstractor
abstracting abstrayendo
abstraction abstracción
abstractionism abstraccionismo
abstractionists abstraccionistas
abstractions abstracciones
abstractly abstractamente
abstractness abstracto
abstractor abstractor
abstractors abstractores
abstracts abstractos
abstrict cercenar
abstriction abstricción
abstruse abstruso
abstruseness oscuridad
absurd absurdo
absurdism absurdismo
absurdities disparates
absurdity absurdo
absurdly absurdamente
absurdness absurdo
absurdum absurdo
abundance abundancia
abundant abundante
abundantly abundantemente
abusable abusable
abuse abuso
abused maltratado
abuser abusador
abusers abusadores
abuses abusa
abusing abusando
abusive abusivo
abusively abusivamente
abusiveness abusividad
abut terminar
abutilon abutilon
abutment lindero
abutments estribos
abuts lindar
abysmal abismal
abysmally mali/simamente
abyss abismo
abyssal abisal
abysses abismos
acacia acacia
academe academia
academia academia
academic acade/mico
academical académico[Conjunction]
academically academicamente
academician académico
academicianship academicismo
academicism academicismo
academics academicas
academies academias
academism academismo
academy academia
acanthocephalan acantocéfalo
acanthopterygian acantopterigio
acanthus acanto
acanthuses acantos
acaulescent acaule
acceded accedió
acceding accediendo
accelerando accelerating
accelerate acelerar
accelerated acelerado
accelerates acelera
accelerating acelerando
acceleratingly aceleradamente
acceleration aceleración
accelerations aceleraciones
accelerative acelerativo
accelerator acelerador
accelerators aceleradores
accelerometer acelerímetro
accelerometers acelerímetros
accent accento
accented acentuado
accenting acentuando
accents accentos
accentuate acentuar
accentuated acentuado
accentuates acentuar
accentuating acentuando
accentuation acentuación
accept aceptar
acceptability aceptación
acceptable aceptable
acceptableness aceptabilidad
acceptably aceptable
acceptance aceptación
acceptances aceptaciónes
acceptation aceptación
accepted aceptado
acceptedly aceptadamente
accepter aceptor
accepting aceptando
acceptor aceptador
acceptors aceptadores
accepts aceptar
access acceso
accessary accesorio
accessed accedido
accesses accesos
accessibility accesibilidad
accessible accesible
accessibleness accesibilidad
accessibly accesiblemente
accessing accediendo
accession acceso
accessions accesos
accessorial accesorio
accessories accesorios
accessors accesores
accessory accesorio
accidence accidente
accident el_accidente
accidental accidental
accidentalism accidentalismo
accidentalist aacidentalista
accidentally accidentalmente
accidentalness accidentalmente
accidently accidentalmente
accidents accidentes
acclaim aclamar
acclaimed aclamado
acclaims aclamar
acclamation aclamación
acclimate aclimar
acclimated aclimatado
acclimates aclimatar
acclimating aclimatando
acclimation aclimatación
acclimatizable aclimatable
acclimatization aclimatación
acclimatize aclimatizado
acclimatized aclimatizado
acclimatizer climatizador
acclimatizers climatizadores
acclimatizes aclimatiza
acclivity cuesta
accolades acoladas
accommodate acomodar
accommodated acomodado
accommodates hospedar
accommodating alojando
accommodatingly acomodadamente
accommodation accomadación
accommodations alojamientos
accommodator acomodador
accompanied acompanado
accompanies acompaña
accompaniment acompañamiento
accompaniments acompañamientos
accompanist acompanista
accompanists acompanistas
accompany acompañar
accompanying acompañando
accompanyist acompañante
accompanyists acompañantes
accomplice cómplice
accomplices cómplices
accomplish cumplido
accomplishable terminable
accomplished terminado
accomplisher terminador
accomplishers terminadores
accomplishing cumpliendo
accomplishment triunfo
accomplishments triunfos
accord acordar
accordance conforme
accordances concordancias
accordant concordante
accorded acordado
accordion acordeón
accordionist acordeonista
accordionists acordeonistas
accordions acordeones
accords acuerdos
accost abordar
accosted acosó
accosts abordar
account cuenta
accountability responsabilidad
accountable responsable
accountancy contabilidad
accountant contable
accountants contables
accounted contabilizó
accounting contabilidad
accountings contabilidades
accounts cuentas
accouter equipar
accouterment equipo
accouterments equipo
accredit acreditar
accreditation acreditacion
accreditations acreditaciones
accredited autorizado
accretion aumento
accretions aumentos
accrue aumentarse
acculturate aculturar
acculturated aculturado
accumulable acumulable
accumulate acumular
accumulated acumulado
accumulates acumuladóa
accumulating acumulando
accumulation acumulación
accumulations acumulaciones
accumulative acumulativo
accumulatively acumulativamente
accumulator acumulador/ra
accumulators acumuladores
accuracies precisiónes
accuracy acuracia
accurate atinado
accurately precisión
accursed maldito
accusation acusacion
accusations acusaciones
accusative acusativóva
accusatory acusatorióa
accuse acusar
accused acusadóda
accuser acusador/ra
accuses acusas
accusing acusando
accusor acusador/ra
accustom acostumbrar
accustomed acostumbrado
accustoming acostumbrando
ace as
acellular acelular
acephalous acefalo
acerbate acerbar
acerbity acerbidad
acetaminophen acetaminofen
acetate acetato
acetic acético
acetify acetificar
acetone acetona
acetyl acetilo
acetylene Acetileno
ache doler
ached dolido
aches duele
achievable conseguible
achieve conseguir
achieved conseguido
achievement logro
achievements logros
achieves logra
achieving consiguiendo
achingly dolorosamente
achromatic acromático
achromatically acroma/ticamente
achromaticity acromaticidad
achromatism acromatismo
acid a/cido
acidic a/cido
acidification acidificación
acidity acidez
acidness acidez
acids acidos
acidulant acidulante
acidulate Acidular
acidulation Acidulación
acinus a/cino
acknowledge reconocer
acknowledgeable reconocible
acknowledged reconocido
acknowledgement reconocimiento
acknowledgements reconocimientos
acknowledging reconociendo
acknowledgment reconocimiento
acne acné
acolyte acólito
acolytes acólitos
acorn bellota
acorns bellotas
acoustic Acústica
acoustically Acústicamente
acoustics acústica
acquaint conocido
acquaintance conocidóda
acquaintances conocidos/das
acquire Adquirir
acquired Adquirido
acquirement Adquisición
acquisition adquisición
acquisitions Adquisiciones
acre acre
acrobacy Acrobacia
acrobat acróbata
acrobatic acrobático(a)
acrobatically acrobaticamente
acrobatics acrobacias
acrobats acróbatas
acronym Acrónimo
acronymically acronímicamente
acronyms acrónimos
acropetal acropeta/lico
acropetally acropeta/licamente
acrophobic Acrofobia
acropolis Acrópolis
acrostic Acróstico
acrylic Acrílico.
act acto
action acción
actions acciones
activate activar
activated Activado
activates Activa
activation Activación
activations Activaciones
activator Activador
activators Activadores
active activo(a)
actively activamente
activism Activismo
activist Activista
activists Activistas
activities las_actividades
activity Actividad
actors los_actores
actresses Actrices
actual actual
actualization Actualización.
actualizations Actualizaciones
actualize Actualizar
actualized Actualizado
actualizes Actualiza
aculeate aculeado
acumen acumen
acuminate acuminado
acumination acuminación
acupuncture Acupuntura.
acute Aguda,agudo.
acutely Agudamente.
acuteness Agudeza
acyclic Acíclico.
acyclically Acíclicamente
adapt adaptar
adaptability adaptabilidad
adaptable adaptable
adaptation adaptación
adaptational adaptacional
adaptations adaptaciones
adapted adaptado
adaptive adaptativo
adaptively adaptativamente
adaptivity adaptabilidad
adaxial adaxial
add ma/s
addenda adendas
addendum adenda
addict adicto
addiction Adicción.
addictions Adicciones.
addictive adictivo
addicts adictos
addition adición
additives aditivos
address Dirección
addressed Dirigido
addressee Destinatario
addressees Destinatarios
addresser Remitente
addressers Remitentes
addresses Direcciones
adductor Abductor
adenine adenina
adenoid Adenoide
adenoidal Adenoidal
adenoma Adenoma
adenomatous Adenomatoso
adenosine adenosina
adept Adepto
adequate adecuado
adhesion adherencia
adhesions adherencias
adhesive adhesivo
adios Adiós
adipose Adiposo
adiposity Adiposidad
adjacent Adyacente
adjective el_adjetivo
adjectives Adjetivos.
administrators administradores
admire admirar
adobe adobe
adoption adopción
advance avance
advantage la_ventaja
adverb el_adverbio
advertisement el_anuncio
advice el_consejo
affair asunto
affairs asuntos
affectionate carinoso
afternoon la_tarde
agencies agencias
agency agencia
aggravate agravar
aggression agresión
aggressions agresiónes
aggressive agresivo
agile a/gil
aging envejecimiento
agitated agitado
agoraphobia agorafobia
agree acordar
agreement el_acuerdo
aid la_curita
aids la_SIDA
air el_aire
aircraft el_avión
airplanes los_aviones
airport el_aeropuerto
airsickness mareo
alarm alarma
alarmed alarmado
alarming alarmante
alarmingly alarmantemente
alcohol alcohol
alcoholic alcoholico
alcoholism alcoholismo
ale cerveza
algebra algebra
algebraically algebraicamente
algorithm algoritmo
alibi coartada
alien extranjero
all todo
allow dejar
alloy aleación
alloys aleaciónes
allspice malagueta
almond la_almendra
almost casi
alphabet el_alfabeto
alphabetic english
already ya
also Tambien[Conjunction]
although aunque
alto long
aluminum el_aluminio
always siempre
am 2486
amalgamate amalgamar
amalgamated amalgamado
amass amontonar
amassed amontado
amateur novicio
amaze asombrar
amazed asombrado
amazement asombro
amazing asombroso
ambassador embajador
amber ambre
ambulance la_ambulancia
amen ame/n
amenities amenidades
amiable amistable
amicably amistablemente
amid entre
amuse divertir
amusing divertido
ancient antiguo
and y
angry enojado
animal el_animal
animalcule anima/lculo
animated animado
animation animación
anion anión
aniseed an/is
anisotropic anisotropous
ankle el_tobillo
ankles los_tobillos
anniversaries aniversarios
anniversary aniversario
annotate notar
annotated notado
annotation anotación
announce anunciar
announced anunciado
announcer anunciador
announcers anuciadors
annoy burlarse
annual anual
answer la_respuesta
ant hormiga
antacid antiacido
antagonism antagonismo
antagonist antagonista
antagonistic antagonico
antarctic antartico
antecedent antecedente
antecedents antecedentes
antediluvian antediluviano
antelope antilope
antenna antena
antennae antena
anther antera
anthill hormiguero
anthologies antologias
anthologist antologista
anthology antologia
anthracite antracita
anthrop antrop
anthropocentric antropocentrico
anthropoid antropoide
anthropological antropologico
anthropologist antropologo
anthropology antropologia
anthropomorphic antropomorfico
anthropomorphism antropomorfismo
anthropophagous antropofago
anthropophagy antropofagia
apartment apartamento
apologize disculparse
appetite el_apetito
appetizer el_aperitivo
applaud aplaudir
applause el_aplauso
apple apple
apples las_manzanas
applicable aplicable
applicant applicante
applicants applicante
application aplicacion
appointment la_cita
appointments las_citas
appreciate apreciar
apricot el_chabacano
apron el_delantal
aquarium el_acuarium
architect el_arquitecto
arena corrida
argue arguir
argument el_argumento
arm el_brazo
arms los_brazos
around alrededor
arrange arreglar
arrive llegar
arrow la_flecha
art arte
artefact artefacto
arterialization arterializacion
arterialize arterializar
arteries las_arterias
arteriole arteriola
arterioles las_arteriolas
arteriosclerosis arteriolosclerosis
arthritic artrítico
arthropod artropodo
artichoke la_alcachofa
article artículo
artificial artificial
ashtray el_cenicero
ask preguntar
asleep dormido
aspirin la_aspirina
asterisk el_asterisco
at a
ate comi
athlete el_atleta
attainable conseguilbe
attainableness asequibilidad
attempt intento
attend asistir
attendance asistencia
attendant asistente
attendants asistentes
attentive atento
attentively atentamente[Pronoun]
attire atraer
attired atraido
attiring atractivo
attitudes actitudes
author el_autor
auto el_auto
autumn otoño
avenue la_avenida
avoid eludir
axe la_hacha
b b
babble balbucear
babbled balbuceado
babblement balbuceo
babbler balbuceador
babbles balbucea
babbling balbuceando
babe bebe
babes bebés
babies bebe/s
baboon babui/no
baby bebe/
babyhood niñez
babying ninando
babyish infantil
babysit cuidar
babysitter canguro
babysitters canguros
baccalaureate licenciatura
baccarat bacarr/a
bacchanal bacanal
bacchanalia bacanal
bacchic BA/QUICO
bachelor bachiller
bachelorhood solteria
bachelors bachilleres
bacillar bacilar
bacilli bacilos
bacillus bacilo
back la_espalda
backbite difamar
backbiter el_difamador
backbone espinazo
backbones espinazo
backdrop telon
backdrops TELONES
backed RESPALDADO
backer RESPALDADOR
backers RESPALDADORES
backfire petardeo
backgammon chaquete
background fondo
backgrounds antecedentes
backhand reves
backhanded ambiguo
backhouse letrina
backing APOYO
backlash contragolpe
backlogs ATRASOS
backpack bolsón
backpacker mochilero
backpacks mochila
backrest respaldo
backs ESPALDAS
backside_espald lomo
backslider reincidente
backspace tecla_de_retroceso
backspaced retrocedido
backspaces retrocesos
backspacing retrocediendo
backstage bastidores
backstitch pespunte
backstitched pespunteado
backstitches pespuntes
backstitching pespuntear
backtrack retrotraer
backtracked desandado
backtracker desandador
backtracking desandando
backup respaldo
backward atrasado
backwardly retrospectivamente
backwardness atraso
backwash estela
backwater remanso
backwaters remansos
backwood bosque
backwoods bosque
backwoodsman bosqui/mano
bacon el_tocino
bacteria bacteria
bacterial bacteriano
bacterially bacterianamente
bactericidal bactericida
bactericidally bactericidamente
bacterium bacteria
bad malo
badger tejón
badgered molestado
badgering molestando
badgers tejones
badges condecoraciones
badly malamente
badminton badminton
badness maldad
baffle confundir
baffled confundido
bafflement confusión
baffler deflector
bafflers deflectores
baffling confundiendo
bag bolso
bagatelle bagatela
baggage el_equipaje
baggily holgadamente
baggy holgado
bagpipe la_gaita
bagpipes gaitas
bags bolsas
bailable achicable
bailee depositario
bailer fiador
bait cebo
bake hornear
baker el_panadero
bakery panaderia
balalaika balalaika
balance balancear
balcony balcon
bald calvo
baldness calvicie
bale el_fardo
baleful funesto
ball bola
ballad balada
balladist baladista
ballads baladas
ballast lastre
ballerina bailarina
ballerinas bailarinas
ballet ballet
ballista ballesta
ballistics la_bali/stica
balloon globo
balloons globos
ballot encuesta
balls bolas
balmy suave
balsam balsamo
balustrades barandillas
bamboo bambú
ban prohibicion
banal banal
banana platano
bananas platano
band banda
bandage la_venda
bandit bandido
bandits bandito
bandoleer bandolero
bank banco
banker el_banquero
banquet banquete
bar barra
barbarian ba/rbaro
barbarians b/arbaros
barbaric barbario
barbarism barbarismo
barbarities barbaridades
barbarization barbarización
barbarize barbarizar
barbecue barbacoa
barber el_barbero
barn el_troje
basket la_cesta
basketball baloncesto
baskets las_cestas
bat murci"e/"lago
bathroom el_bano
be be
beach la_playa
beacon atalaya
beans frijoles
bear el_oso
beard la_barba
beautiful hermoso
beauty la_belleza
because porque
bed la_cama
bedroom el_dormitorio
bedrooms el_dormitorios
beds las_camas
bedspread la_colcha
bee la_abeja
beer cerveza
before antes
begin empezar
beginning el_principio
beige beige
believe creer
bell la_campana
bells las_campanas
below bajo
best el_mejor
better mejor
between entre
bicycle la_bicicleta
bien good
biff biffar
big grande
biochemical bioquimico
bird pa/jaro
birth el_nacimiento
birthday cumpleaños
bitch perra
bite morder
bitter amargo
black negro
blackboard la_pizarra
bladder vejiga
bladders las_vejigas
blanket la_manta
bleed sangrar
blind ciego
blinds persianas
blizzard la_ventisca
block bloque
blocked bloqueado
blond rubio
blood la_sangre
blouse la_blusa
blue azul
blueprint anteproyecto
boat el_barco
body el_cuerpo
boil hervir
bone el_hueso
bones los_huesos
book el_libro
books los_libros
boot bota
boots botas
bored aburrido
boring aborrido
boss el_jefe
both ambos/as
bother molestar
bottle la_botella
bottles las_botellas
bottom el_fondo
box la_caja
boxes las_cajas
boy el_muchacho
boycotted boicoteado
boyfriend amigo
boyhood muchachez,juventud
boys los_muchachos
bra sosten
brace abrazadera
bracelet el_brazalete
bracken helecho
bragging fanfarronadas
brain cerebro
brainteaser rompecabezas
braise brasear
brake freno
branch la_rama
branches ramas
branchia branquia
branchial branquial
branchiate branquiado
brand marca
brandy brandy
brass metal
brasserie panaderia
bratwurst salchicha
bravery el_valor
bread el_pan
break romper
breakfast el_desayuno
breathe respirar
breeze la_brisa
brick el_ladrillo
bridge el_puente
bring traer
broad ancho
broken roto
broom la_escoba
brother el_hermano
brown pardo
brunette moreno
brush el_cepillo
bucket el_cubo
bug error
building el_edificio
bull el_toro
burn la_quemadura
bus autobus
bush el_arbusto
business el_negocio
busy ocupado
but pero
butter la_mantequilla
butterfish mariposa
buy comprar
buyer comprador
byte el_byte
bytes los_bytes
c c
cab POLICIA
c'mon vamos
cabal concilia/bulo
cabalism cabalismo
cabalist cabalista
cabalistic cbali/stico(a)
caballero gent;emen
cabana cabanã
cabanas cabañas
cabaret cabaret
cabbage col
cabbaged repollado
cabbages coles
cabbaging repollando
cabbie chofer
cabbies choferes
cabby chofer
cabdriver taxista
cabin cabina
cabinet armario
cabinetmaker ebanista
cabinetmakers ebanistas
cabinetmaking ebanister/ia
cabinets armarios
cabinetwork ebanisteri/a
cabins cabinas
cable cable
cablegram cablegrama
cablegrams cablegramas
cables cables
cablet estacha
cableway cablecarril
cabman taxista
caboodle montón
cabotage cabotaje
cabriole cabriola
cabriolet cabriolet
cabs taxis
cacao cacao
cacciatore caciatore
cachalot cachalote
cacophonous cacofónico
cacophonously cacofónicamente
cacophony cacofoni/a
cacti cactus
cactus el_cacto
cactuses cactos
cacuminal cacuminal
cadastral catastral
cadastre catastro
cadaver cada/ver
cadaveric cadavérico
cadaverine cadaverina
caddy estuche
cadences cadencias
cadency cadencia
cadenza cadencia
cadet cadete
cadmium cadmio
cadre cuadro
caducean caduco
caduceus caduceo
caducity caducidad
caducous caduco
cafe cafe/
cafes cafe/s
cafeteria cafeteri/a
cafeterias cafeteri/as
caffeine cafei/na
caftan cafta/n
cage jaula
caged enjaulado
cages jaulas
cahier cuaderno
caiman caima/n
cake el_pastel
cakes pasteles
calabash calabaza
calaboose calabozo
calamine calamina
calamint ajedrea
calamite Calamites
calamities calamidades
calamitous calamitoso
calamitously calamitosamente
calamity calamidad
calash calesa
calcaneal calcañal
calcaneum calca/neo
calcaneus calca/neo
calcareous calca/reo
calcic ca/lcico
calcific calcificar
calcification calcificación
calcified calcificado
calcifuge calci/fugo
calcifugous calci/fugo
calcify calcificar
calcimine encalar
calcination calcinación
calcine calcinar
calcined calcinado
calcite calcita
calcitic calci/tico
calcium calcio
calculability calculabilidad
calculable calculable
calculably calculablemente
calculate calcular
calculated calculado
calculatedly calculadamente
calculates calcula
calculation ca/lculo
calculations ca/lculos
calculator calculadora
calculators calculadoras
calculi ca/lculos
calculus ca/lculo
caldera caldera
caldron calderón
caleche calesa
calendar el_calendario
calends calendas
calendula_caléndul maravilla
calenture calentura
calf chivo
calfs pantorrillas
caliber calibre
calibers calibre
calibrate calibrar
calibrated calibrado
calibrates calibra
calibration calibración
calibrations calibraciones
calibrator calibrador
calibrators calibradores
calibre calibre
californium californio
caliginous caliginoso
caliph califa
caliphal califal
caliphate califato
caliphs califas
calisthenic calisténico
calisthenics calistenia
call llamar
calla_a palustre
called llamó
calligrapher cali/grafo
calligraphers cali/grafos
calligraphic caligra/fico
calligraphically caligra/ficamente
calligraphist cali/grafo
calligraphy caligrafi/a
callosity callosidad
callous calloso
calls llamadas
callus callo
calluses callos
calmative calmante
calmed calmado
calming calmante
calmly calmadamente
calmness tranquilidad
calms calma
caloric calori/fico
calorie calori/a
calories calori/as
calumniate calumniar
calumniation calumnia
camaraderie camaraderi/a
came vino
camel camello
camelia camelia
camels camellos
camera camara
cameraman camarógrafo
cameramen camarógrafos
cameras camaras
camp campo
campaign campaña
campaigns campañas
campfire fogata
camphor alca/nfor
camps campamentos
campus recinto
campuses recintos
can la_lata
canal canal
canals canales
canaries canarios
canary canario
cancelation cancelación
cancelations cancelaciones
canceled canceló
cancellation cancelación
cancellations cancelaciones
cancelled canceló
cancelling cancelando
cancer ca/ncer
cancerous canceroso
candelabra candelabro
candid ca/ndido
candidate candidato
candidates candidatos
candied acaramelado
candies caramelos
candle la_vela
candleholder candelabro
candy caramelo
cane_(walking_st bastón
cane bastón
canes bastones
canned enlatado
cannibal cani/bal
cannibalism canibalismo
cannibals canibales
cannon cañon
canoe canoa
canoes canoas
cans las_latas
cantaloupe melón
cantata cantata
cantina cantina
cap el_gorro
capabilities capacidades
capability capacidad
capable capaz
capacitate capacitar
capacities capacidades
capacity capacidad
cape capa
capella capella
capital la_capital
capitalism Capitalismo
capitalist capitalista
capitalists capitalistas
capitol capitolio
capitols capitolios
capriccio capricho
capricious caprichoso
capriciously caprichosamente
capsule ca/psula
capsules ca/psulas
captain capita/n
captivate cautivar
captive cautivo
captives cautivos
capuchin cachupi/n
car el_coche
caravan caravana
caravans caravanas
caravel caravela
carbohydrate carbohi/drato
carbohydrates carbohi/dratos
carbon carbón
carcinogen carcinógeno
carcinogenic carcinoge/nico
carcinoma carcinoma
card tarjeta
cardiac cardi/aco
cardiogram cardiograma
cardiograms cardiogramas
cardiovascular cardiovascular
care cuidado
career profesión
careers profesiones
careful cuidadoso
carefully cuidadosamente
carefulness cuidado
caress acariciar
caresses caricias
cargo carga
cargoes cargas
cargos cargas
caribe cari/be
caricature caricatura
caricaturist caricurista
carnival carnaval
carnivals carnavales
carnivore carni/voro
carol cantata
carousel carusel
carpenter carpintero
carpenters carpinteros
carpentry carpinteri/a
carpet alfombra
carrot la_zanahoria
carry cargar
carryall cargatodo
carrying cargando
cars los_coches
cart carretilla
carte carta
cartel cartel
cartilage carti/lago
cartographer cartógrafo
cartographers cartógrafos
cartographic cartogra/fico
cartography cartografi/a
cartomancy cartómancia
cartoon muñequitos
carts carretillas
carve tallar
carved tallado
casa house[Conjunction]
casaba casaba(vegetable)
cascade cascada
cascades cascadas
cash efectivo
cashier cajero
cashiers cajeros
casino casino
casinos casinos
cast arrojar
castanet castañuela
castanets castañuelas
castigate castigar
castigated castigado
castigates castiga
castigation castigo
castigator castigador
castigators castigadores
castle castillo
castles castillos
castrate castrar
castrated castrado
casual informal
cat el_gato
cataclysm cataclismo
catacomb catacumba
catalog cata/logo
cataloged catalogado
catalogs cata/logos
catalogue cata/logo
catalogues cata/logos
catastrophe cata/strofe
