StartOfFile
a few	paar
acarpelous	ohne Fruchtbla.tter
accede	beipflichten zustimmen
accelerando	allma.hlich schneller
accentuation	die Betonung
acceptance	Akzeptanz Annahme
accident	zufälliges Ereignis
accompanied	in Begleitung
accomplish	erreichen schaffen
accuracy	die Genauigkeit
accuse	anklagen beschuldigen
aches	die Schmerzen
achieve	schaffen erreichen
achieved	schaffte erreichte
acknowledge	anerkennen bestaetigen
acknowledgment	Anerkennung Bestaetigung
acquaintance	der/die Bekannte
acquaintances	die Bekanntschaft
acquittal	die Freisprechung
adding machine	Rechnungsmaschine
address label	Adresseschild
adhesive bandage	Pflaster
adjust	richtig stellen
adopted	nahm an
again	noch einmal
aged	vor kurzem
aisle seat	Gangplatz
alarm clock	Wecker
although	obwohl obgleich
among	mitten; unter
ample	geraeumig; umfassend
amusement park	Zeitvertreibpark
ancient	uralt; alt
angry	aergerlich; boes
annoy	aergern; belaestigen
another	ein anderer
anticipate	vorhersehen; erwarten
antique	altertuemlich; antik
anxiety	Unruhe; Aengstlichkeit
any time	jederzeit
apart	abseits; getrennt
apiece	pro stueck
apologize	sich entschuldigen
apparent	scheinbar; anscheinend
applaud	applaudieren; klatschen
apple juice	Apfelsaft
applesauce	Schmus Quatsch
arrested	gebustet werden
arrival gate	Ankunfttor
at least	mindestens
atlantic ocean	Atlantik
attached	fügte an
audio cassette	Tonkassette
avalanche area	Lawinengefahr
b	H (Musik)
babe	kleines Kind
babe	hu.bsches Fra.ulein
baboon	Pavian -e
baby	Baby -s
bacchanal	Bacchanalie Orgie
bacillus	Bazille fem.
back	zuru.ck Ru.cken
backers	Unterstu.tzer Finanzierer
backers	Unterstuetzer die
backing	Unterstützung -en
backpedal	rueckwaertsgehen rueckwaertslaufen
backrest	Rueckenlehne fem.
backseat	Ruecksitz masc.
backside	Rueckseite fem.
backstairs	Nebentreppen die
backstitches	Rueckstiche die
backstroke	Rueckenlage die
backswing	Rueckhand die
backtracked	zurueck verfolgen
backwater	Hinterland das
backwaters	Hinterlaender die
bacteria	Bakterie die
bad cut	Schlechtschnitt
badge	Schild das
badges	Schilder die
badminton	Federballspiel das
badness	Schlechtigkeit die
bafflement	Verwunderung die
baffler	Verwunderer der
bafflers	Verwunderer die
bag	Sack ¨-e
bagatelle	Kleinigkeit die
bagel	Kringel der
bagels	Kringel die
baggage	Gepaeck das
baggageman	Gepaecktraeger der
baggagemen	Gepaecktraeger die
bagger	Einsacker der
baggers	Einsacker die
bagpipe	Dudelsack masc.
bagpiper	Dudelsackspieler masc.
bagpipes	Dudelsaecke pl.
bags	Taschen pl.
bail	Kaution die
bailable	zu kautionieren
bailer	Kautiongeber der
bailiff	Rechtspfleger der
bailiffs	Rechtspfleger die
bait	Koeder masc.
baiter	Koederer der
baits	Koeder die
baker	Baecker masc.
bakeries	Baeckereien pl.
bakers	Baecker pl.
bakings	Backwaren die
balalaika	Balalaika die
balalaikas	Balalaiken die
balance	Gleichgewicht das
balancer	Ausgleicher der
balancers	Ausgleicher die
balances	Gleichgewichte die
baldhead	Glatzkopf der
baldness	Klatzkoepfigkeit die
ballad	Ballade die
ballade	Balladen die
ballast	Ballast masc.
ballcarrier	Balltraeger masc.
ballerina	Ballerina fem.
ballerinas	Ballerinas pl.
ballfield	Spielfeld das
ballfields	Spielfelder pl.
ballistics	Ballistik fem.
balloon	Ballon masc.
ballooning	Ballonfahren das
ballot	Wahl fem.
ballot	Wahlurne die
ballplayer	Ballspieler der
ballroom	Ballsaal masc.
ballrooms	Ballsaele pl.
balms	Basalme die
baloney	Unsinn der
balsam	Balsam der
baluster	Treppengelaender das
balustrade	Balustrate die
balustrades	Balustraten die
bamboos	Bambus die
ban	Bann der
banality	Banalitaet fem.
bandaid	Pflaster das
bandana	Kopftuch das
bandana	Halstuch das
bandmaster	Kapellmeister der
bandwidth	Bandbreite fem
bandwidths	Bandbreiten pl.
banisher	Verbanner der
banishment	Verbannung die
banjo	Banjo das
banjoes	Banjo die
bank draft	Bankwechsel
baseball cap	Baseballkappe
bath mat	Badematte
bathing suit	Badeanzug
battery charger	Batteriebeladung
baud rate	Baudrate
be open	aufstehen
beer bottle	Bierflasche
before then	zuvor
billy club	Knüppel
boiled potatoes	Salzkartoffeln
bomb	die Bombe
bombs	die Bomben
book cover	Buchdekel
booking office	Fahrkarten
bottled water	Flaschewasser
branch office	Niederlage
brazil nut	Brasiliennuß
bus driver	Omnibusfahrer
butcher shop	Fleischerladen
c%27mon	mach schon
cabdriver	Taxifahrer -in
c'mon	Auf geht's![Conjunction]
c'mon	Komm mit!
cadence	Kadenz Rhythmus
cage	Ka.fig Kabine
calamity	Unglu.ck Schicksalsschlag
calculable	berechenbar kalkulierbar
calculator	Kalkulator Rechner
caliber	Kaliber Format
calico	Kaliko Kattun
came from	herausgekommt
canned sardines	Ölsardinen
capability	geistige Fähigkeit
cardiac condition	Herzfehler
carry-on luggage	Handgepäck
carving knife	Tranchiermesser
cash	bares Geld
cashew nut	Acajoubaumnuß
change	sich umziehen
charges 	Ansätze
charity 	Nächstenliebe
check in	registieren
checking account	Scheckkonto
chest hair	Bristhaar
chips	Pommes frites
cigarette lighter	Feuezeug
clearance sale	Ausverkauf
clocked	stoppte ab
close by	neben
cocktail napkin	Cocktailserviette
code page	Kodepage
cold cuts	Aufschnitt
color rinse	Farbespülen
come from	herstammen
computer program	Computerprogramm
conga drum	Kongatrommel
contract	vertrag schliessen
conversion table	Umrechnungstabelle
copy-protected	Nachdruck verboten
cotton swab	Watte
couple up	anhängen
cramps	krampft ein
credit	Glauben schenken
cuddle	enge Umarmung
culprit	der Schuldige
culprits	die Schuldigen
customs broker	Zollamtmakler
d%27art	der Kunst
d%27etat	des Staats
d%27etre	des Seins
dabbler	Amateur Dilletant
dacha	Datscha Datsche
dachshund	der Teckel
dachshunds	die Teckelpl.
daddies	Vaeter pl.
daddy	Papa masc.
daemon	Daemon masc.
daftness	Trottelhaftigkeit Verrücktheit
dance floor	Tanzboden
dancers	Taenzer pl.
dances	Taenze pl.
dangers	Gefahren pl.
darken	verdunkeln abdunkeln
dashboard	Armaturenbrett neutr.
dashboards	Armaturenbretter neutr.pl.
databases	Datenbasen fem.pl.
dateline	Datumsgrenze fem.
day trip	Tagereise
dead	außer betrieb
deadline	letzter Termin
dental assistant	Zahnhelfer
deodorant soap	Desodoransseife
departed	fuhr ab
department store	Warenhaus
departure gate	Abreisepforte
dining car	Speisewagen
dinner meeting	Tischgesellschaft
disagree	nicht zustimmen
disk drive	Scheibelaufwerk
doctor's office	Arztamt
double bed	Doppelbett
drawing paper	Zeichnungpapier
drinking glass	Trinkglas
drug store	Drogerie
drum set	Trommelset
duty-free shop	Zollfreigeschäft
eagles	die Adler
ear	das Ohr
ear canal	Ohrenkanal
eardrums	die Trommelfelle
earl	Graf (England)
earner	der Verdiener
earners	die Verdiener
earnings	der Verdienst
earplug	der Ohrenstoepsel
ears	die Ohren
earwax	der Ohrenschmalz
easiest	am leichtesten
easy chair	Sessel
egg cup	Eierbecher
eighty one	einundachtzig
elevator door	Fahrstuhltür
elm tree	Ulmebaum
embarrassing	peinlich peinsam
emergency exit	Notausgang
ensure	sicherstellen garantieren
environmental hazard	Umweltzufall
establishing	sich niederlassen
evening gown	Abendkleid
event	die Veranstaltung
events	die Veranstaltungen
every	jede alle
express train	Expreß
eye glasses	Brille
fabricates	stellt her
face powder	Gesichtspuder
facial	im gesicht
facial soap	Gesichtsseife
fairy tale	Märchen
falling rock	Steinschlag
fan	begeisterte Anhänger
far off	fern
fax machine	Faxmaschine
feel free	freifühlen
ferry boat	Fähre
fifty one	einundfünfzig
fight	sich schlagen
filing cabinet	Aktenschrank
find out	herausfinden
finger food	Fingeressen
fire drill	Feuerdrill
fishing boat	Fischerboot
fixed rate	Festrate
flag pole	Fahnenstange
flageolet	harmonischer Oberton
flash	Blitz m)
flat rate	Flachrate
flesh tone	fleischton
floppy disk	Diskette
folk music	Folkmusik
forever	für immer
forgo	verzichten auf
forty one	einundviertzig
four hundred	vierhundert
fried potatoes	Bratkartoffeln
from the	vom
front end	Vorderseite
fruit cup	Bowle
further	weiter ferner
gas pains	Gasqualen
gayest	am schwulsten
gear	Gang Schaltung
get even	abrechnen
gift shop	Geschenkladen
go	gehen laufen
got it	verstehen
government buildings	Staatsgebäuden
graduate	staffeln Graduierte
grammar school	Gymnasium
ground floor	Erdgeschoß
group	gruppe; gruppen
guest house	Pension
guide book	Reiseführer
guided tour	Führtefahrt
habitant	Bewohner Einwohner
habitants	Bewohner Einwohner
hadn't	hatte nicht[Conjunction]
hair brush	Haarbürste
hairiest	am haarigsten
hallow	heiligen weihen
halter	Halfter (m
ham	gekochte Schinken
hamburger	der Hamburger
hamburgers	die Hamburger
hamster	der Hamster
hand baggage	Handgepäck
handball	der Handball
handbook	das Handbuch
handbooks	die Handbu.cher
handcuff	Handschellen anlegen
handgun	die Handwaffe
handguns	die Handwaffen
handiest	am handlichsten
handkerchiefs	das Taschentuch
hands	die Ha.nde
hang up	anhängen
hangar	der Hangar
happen	geschehen passieren
happenings	die Ereignisse
happens	geschieht passiert[Conjunction]
happiest	am glu.cklichsten
harbor	der Hafen
hardcopy	der Ausdruck
hardware store	Eisenwarengeschäft
harem	der Harem
harmony	doe Harmonie
harpoon	die Harpune
harpoons	die Harpunen
hasn't	hat nicht[Conjunction]
hasten	hasten eilen
hasting	sich beeilen
hats	die Hu.te
haven't	nicht haben
hawks	die Falken
hay fever	Heuschnupfen
hazelnut	die Haselnuss
hazelnuts	die Haselnu.sse
headaches	die Kopfschmerzen
he'll	er wird
headline	die U.berschrift
headlines	die U.berschriften
headmistress	die Leiterin
headphone	der Kopfho.rer
headphones	die Kopfho.rer
headquarter	das Hauptquartier
healer	der Heiler
healers	die Heiler
healthiest	am gesundesten
hearer	der Ho.rer
hearers	die Ho.rer
heartache	die Herzschmerzen
heartaches	die Herzschmerzen
heartbeat	der Herzschlag
heartlessness	die Herzlosigkeit
heatstroke	der Hitzschlag
heavies	am schwersten
hectoliter	der Hektoliter
hedonism	der Hedonismus
hedonist	der Hedonist
hedonists	die Hedonisten
heels	die Absa.tze
hegemony	die Hegemonie
height	die Ho.he
hello	guten tag
help file	Hilfefeile
high school	Gymnasium
hiking boots	Wanderungsstiefel
himself	er selber
himself	ihm selbst
himself	ihn selbst
hippie	Hippie Blumenkind
hippies	Hippies Blumenkinder
hips	Hüften Hagebutten
hiss	zischen auspfeifen
home	nach hause
hope	die Hoffnung
house	das Haus
house wine	Hauswein
how much	wieviel
hugest	größtes größter
ice cream	Eis
in the	im
ink jet	Tintedüse
insect bite	Insektbiß
insurance policy	Versicherungspolice
insure	versichern sicherstellen
insurer	Versicherer male
intenationale Bediener	intelligent
international operator	intelligent
jack hammer	Anschlaghammer
jet plane	Strahlflugzeug
jot down	notieren
jumbled	würfelte durcheinander
junk food	Schnellessen
keg	kleines Faß
keyboard driver	Tastaturfahrer
kickoff	Anstoss (Fussball)
kid	Kind (mundartlich)
kismet	Kismet Schicksal
kitchenware	Ku.chenartikel Ku.echenware
knitting	Strickzeu g
knowhow	Know-how Wissen
labyrinth	Labyrinth Irrgarten
laundry list	Waschzettel
law office	Rechtamt
lemmas	Lemmas Lemmata
lettuce	grüner Salat
level crossing	Bahnübergang
lightning	Blitz m)
likely	wahrscheinlich geeignet
limited partnership	Gesellschaft
linden tree	Linden
liquor store	Bierlokal
living room	Sprechzimmer
located	machte ausfindig
long for	verlangen
look at	anschauen
looks like	gleicht
lost property	Fundbüro
lunch box	Mittagessenkasten
ma'am	gnä Frau
ma'am	gnädige Frau
machete	die Machete
machine	die Maschine
machinist	Maschinist Maschinennäherin
macho	der Macho
mackerels	die Makrelen
macrame	das Makrame
macroprocessor	der Makroprozessor
madam	gnädige Frau
maddening	zum Verru.cktwerden
made	hergestellt (in)
madhouse	die Irrenanstalt
madman	der Irre
madmen	die Irren
madness	die Verru.cktheit
madrigal	das Madrigal
madwoman	Verru.ckte Frau
madwomen	Verru.ckte Frauen
maestro	Maestro Dirigent
mafioso	der Mafioso
magazines	die Zeitschriften
maggot	die Made
maggots	die Maden
magic	die Magie
magician	Magier Zauberer
magicians	Magiere Zauberer
magma	das Magma
magnesium	das Magnesium
magnet	der Magnet
magnetite	Magnetit (Erz)
magnetizables	Magnetisierbare Materialien
magnifier	Vergro.sserer Lupe
magnifies	vergro.sserung (um)
magnifying	vergro.ssernd Vergro.sserungs-
mail order	Bestellung
mailbag	der Postsack
mailbags	die Postsa.cke
mailboat	das Postschiff
mailboats	die Postschiffe
mailboxes	die Briefka.sten
mailings	Post Briefe
main highway	Hochstraße
mainstream	die Hauptrichtung
make	bilden herstellen
makeshift	der Notbehelf
manual transmission	Manuellgetriebe
mashed potatoes	Kartoffelnpüree
masters degree	Magistergrad
medication	medizinische Behandlung
meeting room	Treffpunkt
middle seat	Mittelsitzplatz
might	macht gewalt
mildest	am mildesten
mineral water	Mineralwasser
minestrone soup	Gemüsesuppe
minimum speed	Mindestgang
mixed salad	Mischungsalat
money changer	Geldwechsler
more	mehr weitere
morning newspaper	Morgenzeitung
motion sickness	Bewegungkrankheit
mountain range	Bergkette
municipal government	Stadtregierung
nail clippers	Nagelschere
name	die Name
name tag	Namestift
narrow	eng schmal
narrower	enger schmaler
narrowest	engst- schmalst-
national character	Volkscharakter
nations	Nationen Staaten
naught	Zero Nichts
nauseated	ekelte sich
navy blue	marineblau
nearest	ganz nahe
neither	keiner weder
news magazines	Nachrichten
next to	neben
night coach	Nachtreisebus
ninety one	einundneunzig
no parking	parkverbot
non-smoking section	Nichtrauchenteil
nose drops	Nasetropfen
not occupied	frei
notebook computer	Screibheftdatenverarbeitungsanlage
now	nun jetzt
oaf	der To.lpel
oak tree	Eiche
occasional	zufällig gelegentlich
ocean view	Meerblick
of	des von
of the	der
ok	in ordnnung
okay	in ordnung
old man	Greis
olive oil	Olivenöl
on the	am
once	einmal einst
on-course	an Kurs
one bed	Einbett
one-way street	Einbahnstraße
orange juice	Apfelsinensaft
out	heraus hinaus
outboard motor	Außenbordmotor
overnight	über nacht
oxtail soup	Ochsenschanzsuppe
palm tree	Palme
panty hose	Strumpfhose
paper napkin	Serviette
paperback book	Taschenbuch
parallel port	Paralleleluke
parking garage	Parkgarage
particular	einzeln speziell
pearly	perlenartig; perlenfarbig
peashooter	Blasrohr Pusterohr
pebble	Kiesel Kieselstein
pebbled	gekiest kieselig
pen	schreiben abfassen
per diem	taglich
personal check	Privatscheck
phone number	Telefonnummer
pickled cabbage	Sauerkraut
picture frame	Bilderrahmen
place	der Ort
plaid	das Karomuster
plaintiff	der Kla.ger
post office	Post
postal code	Postkoda
prepared	bereitete vor
private bath	Privatbad
prognosis	Vorhersage Prognose
program language	Programmiersprache
propeller-driven plane	Propellerflugzeug
punk	der Punk
punks	die Punks
put on	anlegen
quagmire	Sumpf Moorboden
quaintly	seltsam niedlich
quench	durst löschen
questionable	fraglich bedenklich
raccoon	Waschbaer der
raccoons	Waschbaeren plural
race	Rasse die
raceway	Rennstrecke die
racially	rassenma.ssig Rassen-
racket	Racket (Tennis-)Schla.ger
radiolarian	Radiolarium Strahlentierchen
rain shower	Regenschauer
rainy season	Regenzeit
rapier	Florett das
razor blade	Rasierklinge
really	tatsächlich wirklich
receive	erhalten anerkennen
received	erhielten bekamen
reclining chair	Liegestuhl
record store	Plattengeschäft
refreshment bar	Erfrischungen
regional dialect	Dialekt
registered letter	Einschreibebrief
remember	sich erinnern
represent	darstellen verkoerpern
retired	zog zurück
return address	Zurückadresse
rise up	emporragen
roadwork ahead	Straßenbau
room key	Zimmerschlüssel
round-trip ticket	Zurückfahrkarte
rubbing alcohol	Reibungalkohol
saber	Saebel der
saccharin	Saccharin das
saccharine	zuckersüß; Saccharin-
saccharose	Rohrzucker Saccharose
saddest	am traurigsten
saddlery	Sattlerei Sattelzeug
salad dressing	Salatsoße
sanitary napkin	Binde
save	sichern retten
scotch whiskey	Scotch
scuba gear	Unterseeatmenapparat
sea bass	Seebaß
sealing tape	Siegelband
seat assignment	Sitzanweisung
serial number	Seriellnummer
serious	grob wichtig
serving spoon	Portionslöffel
set up	aufbauen
settle up	abrechnen
seven hundred	siebenhundert
seventy one	einundsiebzig
several	mehrere einzelne
shade tree	Schattenbaum
shave	sich rasieren
shaving cream	Rasierkrem
shipping charges	Versendungkosten
shoe	Hufeisen (horseshoe)
shopping area	Einkaufgebiet
show lace	Schauspitze
shower bath	Dusche
sick	unwohl überdrüssig
silver plate	Silbergeschirr
sir	mein Herr
six hundred	sechshundert
sixty one	einundsechzig
ski bindings	Skibindungen
skiing	ski laufend
slid	glitt ab
slide film	Diapositiv
slippery surface	Straßenglätte
smoking car	Rauchenwagen
snack bar	Imbißstube
soda water	Sodawasser
sold out	ausverkauft
some	einige manche
some more	mehr
sore throat	Halsschmerzen
souvenir shop	Andenkenladen
speed limit	Geschwindigkeitgrenze
spell	richtig schreiben
sports coat	Jacke
spray bottle	Gischtflasche
spread sheet	Verbreitungsblatt
stainless steel	Rostfreistahl
standing room	Stehplätze
stated	festgesetzt spezifiziert
stated	sagte aus
stock broker	Bösenmakler
stomach ache	Magenschmerzen
straight	direkt gerade
strained	spannte an
submarine	Unterseebo.ote; U-bo.ote
subscribe	vertrag unterzeichnen
sugar cane	Zucherrohr
sun umbrella	Sonnenschirm
synonym	sinnverwandtes Wort
tabac	Tabak der
tabernacle	Tabernakel das
table	der Tisch
table cloth	Tischtuch
tables	die Tische
tablet	die Tablette
tabletop	Tischplatte die
tablets	die Tabletten
tabloid	Boulevardzeitung die
taboo	Tabu das
take off	abrechnen
talk about	reden
tanker	Panzermann; Panzertruppe
tape recorder	Tonbandgerät
tax burden	Steuerbürde
taxi driver	Taxifahrer
tea cozy	Teewärmer
teardrop	Träne die
teaspoon	Teelöffel der
telephone booth	Fersprechzeller
television news	Fernsehennachrichten
ten thousand	zehntausend
tennis court	Tennisplatz
thank you	danke
thereabouts	so ungefähr
thirty one	einunddreißig
through traffic	Durchgangsverkehr
thunder storm	Gewitter
ticket agent	Fahrkartenvertreter
to the	zum
tobacco shop	Tabakhändler
toddler	kleines Kind
toilet bowl	Toilettenschale
tomato soup	Tomatensuppe
too much	zuviel
tool kit	Werkzeug
tooth ache	Zahnschmerzen
tour bus	Reiseautobus
tourist guide	Reiseführer
track	Spur die
traffic light	Verkehrsampel
trailer park	Wohnwagenpark
train station	Bahnhof
traveler's check	Reisendescheck
tray table	Tablett
tree	der Baum
trust	Vertrauen Treuhand
try	versuchen probieren
turnip	weisse Rübe
twenty one	einundzwanzig
two hundred	zweihundert
typing paper	Schreibepapier
ugliest	am ha.sslichsten
ulceration	Eiterung Vereiterung
ullage	Leckage Flu.ssigkeitsschwund
ultimately	ulimativ letzendlich
ultrafast	extrem schnell
umbilical	Nabelschnur Kabelschlauch
umpire	Schiedsrichter Unparteiischer
unaccompanied	unbegleitet alleine
unacknowledged	nicht anerkannt
unaided	ohne Hilfe/Unterstu.tzung
unamused	gezwungen unfroh
unapproachable	unzuga.nglich unnahbar
unapt	ungeeignet untauglich
unarguable	nicht diskutierbar
unarmored	ungeschu.tzt ungepanzert
unassertive	unbestimmt vage
unassigned	nicht zugewiesen
unavailing	vergeblich umsonst
unaware	nicht bewusst
unbacked	nicht unterstu.tzt
unbeatable	unschlagbar unbesiegbar
unbecoming	unschicklich unziemlich
unbecomingly	unschicklich unziemlich
unbiased	unzweideutig eindeutig
unbidden	ungebeten unaufgefordert
unblinded	nicht geblendet
unblocked	unblockiert frei
unbrace	nicht gefesselt
unbreathable	nicht atembar
unbroke	nicht pleite
unburied	nicht begraben
uncertified	nicht zertifiziert
until	bis zu
up	nach oben
upgraded	verbessert angehoben
uphold	wahren hu.ten
upholding	wahrend hu.tend
upholster	polstern beziehen
upholstery	Polsterung Polsterei
upkeep	Unterhalt Unterhaltskosten
upper arm	Oberarm
uproar	Aufruhr Tumult
uproarious	tumultartig la.rmend
uproariously	la.rmend bru.llend
user's manual	Benutzerhandbuch
usurp	sich aneignen
vacancies	Zimmer frei
v-neck	V-Hals 
vary	sich verändern
very old	ur-
video camera	Videokamera
videocassette player	Videokasettespieler
viewed	sah an
wadding	Wattierung Watte
waddle	watscheln wackeln
wader	Watvogel Wasserstiefel
wafer	Waffel Hostie
waffle	Waffel quasseln
wage	Lohn unternehmen
waggery	Schelmerei Spass
waggle	wackeln wedeln
wail	(Weh)klagen bejammern
wainscot	Holzverkleidung ta.feln
waistband	Gurtband Taillenband
waiting room	Warteraum
water bed	Wasserbett
waved	winkte zu
way out	Ausgang
wedding ring	Trauring
we'll	wir werden
we're	wir sind
we've	wir haben
weekly	wöchentlich Wochenzeitung
weightlessness	Gewichtslosigkeit Leichtigkeit
weirder	seltsamer merkwürdiger
welcome	willkommen Willkommen
well	gut Brunnen
west	am Westen
whether	entweder oder
whether	ob oder
wimp	Feigling Waschlappen
window glass	Fensterglas
windowed	mit Fenstern
windshield wipers	Windschutzscheibewischer
wine glass	Weinglas
wire money	Telegrammgeld
without	von außen
women's clothes	Frauenkleidungen
wonder	sich fragen
word processor	Textbearbeitungssystem
world cup	Weltpokal
would	würde hätten
writing pad	Screibblock
x factor	x-Faktor
xylene	Xylol (Chemie)
yarrow	Schafgarbe (Botanik)
ye	ihr euch[Pronoun]
yearn	sich sehnen
yellow fever	Gelbfieber
yelp	kläffen bellen
yeoman	Freiasse Pächter
yokel	dummer Bauer
yonder	dort drüben
yours sincerely	hochachtungsvoll
zags	Zickzackteilstücke (pl.)
zaniness	Spaßigkeit Blödheit
zany	Hanswurst Possenreisser
zany	Speichellecker Kriecher
zany	blöd blöde
zap	zack! [interjection]
zeal	Eifer Diensteifer
zealous	eifrig begeistert
zealously	eifrig begeistert
zero	Null Nichts
zest	Lust Gefallen
zipped	mit Reissverschluss
zoos	Zoos Tierga.rten
